"set_num","name","year","num_parts","theme"
"2853216-1","Infrared Link Sensor for Mindstorms NXT",2011,1,"Mindstorms"
"2853300-1","Space Police Collection",2009,5,"Space"
"2853301-1","CITY Transport Collection",2009,5,"City"
"2853302-1","CITY Construction Collection",2009,4,"City"
"2853303-1","Bionicle Glatorian Legends Collection",2009,6,"Bionicle"
"2853508-1","LEGO Star Wars: The Visual Dictionary",2009,6,"Books"
"2853590-1","Stormtrooper",2009,5,"Star Wars"
"2853835-1","White Boba Fett Figure",2010,5,"Star Wars"
"2853944-1","Astronaut",2010,5,"Promotional"
"2854-1","Bungee Chopper",1998,70,"Technic"
"2855028-1","Exclusive Spaceman Magnet",2010,8,"Gear"
"2855040-1","Infrared Receiver Sensor for Mindstorms NXT",2011,0,"Mindstorms"
"2855057-1","LEGO® Star Wars™ Stormtrooper™ Kid’s Watch",2011,0,"Gear"
"2855113-1","Brickmaster Star Wars",2011,251,"Gear"
"2855127-1","LEGO Harry Potter: Years 1-4 Video Game",2010,0,"Gear"
"2856079-1","Creationary Booster Pack",2011,30,"Gear"
"2856080-1","Storm Trooper Minifigure Clock",2010,0,"Gear"
"2856081-1","LEGO® Star Wars™ Darth Vader Minifigure Clock",2010,0,"Gear"
"2856089-1","Hero Factory 2.0 Collection",2011,6,"Hero Factory"
"2856128-1","LEGO® Star Wars™ Anakin Skywalker™ Minifigure Watch",2011,0,"Gear"
"2856130-1","LEGO® Star Wars™ Yoda™ Minifigure Watch",2011,0,"Gear"
"2856134-1","Ninjago Card Shrine",2011,98,"Ninjago"
"2856195-1","LEGO Minifigure Ultimate Sticker Collection",2011,1,"Gear"
"2856197-1","Shadow ARF Trooper",2011,5,"Star Wars"
"2856203-1","LEGO® Star Wars™ Yoda Minifigure Clock",2011,0,"Gear"
"2856217-1","LEGO Star Wars III: The Clone Wars",2011,0,"Gear"
"2856223-1","Magnet Set, Minifig Retro Ninja Princess - with 2 x 4 Brick Base (Bricktober Week 1)",2011,0,"Gear"
"2856224-1","Magnet Set, Minifig Retro Forestman - with 2 x 4 Brick Base (Bricktober Week 2)",2011,0,"Gear"
"2856225-1","Magnet Set, Minifig Retro Classic Knight - with 2 x 4 Brick Base (Bricktober Week 3)",2011,0,"Gear"
"2856226-1","Magnet Set, Minifig Retro Classic Space Astronaut - with 2 x 4 Brick Base (Bricktober Week 4)",2011,3,"Gear"
"2856227-1","Hero Factory Fire Villains Collection",2011,4,"Hero Factory"
"2856236-1","LEGO® Red Brick Clock",2013,0,"Gear"
"2856238-1","LEGO® Yellow Brick Clock",2015,0,"Gear"
"2856453-1","LEGO Brand Pirates of the Caribbean Video Game - PS3",2011,0,"Gear"
"2858-1","Girl with Two Cats",1999,5,"Belville"
"2866-1","Animal Playground",1998,28,"Duplo"
"2870-1","Paradisa Barbeque",1997,21,"Town"
"2871-1","Diver and Shark",1997,17,"Town"
"2872-1","Witch and Fireplace",1997,19,"Castle"
"2873-1","Small Santa Claus",1997,9,"Seasonal"
"2876-1","Christmas Set",1997,9,"Seasonal"
"2878-1","Santa Claus",1997,16,"Seasonal"
"2878-2","Santa Claus Mos Burger Gift Box 1- Hawaiian Shirt Santa",2001,1,"Seasonal"
"2878-3","Santa Claus Mos Burger Gift Box 2 - Tuxedo Santa",2001,1,"Seasonal"
"2878-4","Santa Claus Mos Burger Gift Box 3 - Soccer Santa",2001,1,"Seasonal"
"2879-1","Desert Expedition",1998,195,"Adventurers"
"2880-1","Open-Top Jeep",1997,29,"Classic Town"
"2881-1","Parking Gate Attendant",1997,19,"Classic Town"
"2882-1","Speedboat",1997,22,"Classic Town"
"2883-1","Boat",1997,28,"Classic Town"
"2884-1","Microlight",1997,20,"Classic Town"
"2885-1","Ice Cream Seller",1997,27,"Classic Town"
"2886-1","Formula 1 Racing Car",1997,25,"Classic Town"
"2887-1","Petrol Station Attendant and Pump",1997,15,"Classic Town"
"2889-1","Treasure Cart",1998,24,"Castle"
"2890-1","Stone Bomber",1998,22,"Castle"
"2891-1","Wizard Trader",1998,18,"Castle"
"2892-1","Thunder Arrow Boat",1998,21,"Castle"
"290-2","Dining Suite",1973,113,"Homemaker"
"29-1","4.5V Motor",1977,1,"Service Packs"
"291-1","Blackboard and School Desk",1973,88,"Homemaker"
"2912-1","Radical Racer",2000,16,"Duplo"
"292-1","Kitchen Sink and Cupboards",1973,51,"Homemaker"
"2928-1","Airline Promotional Set",2006,137,"City"
"2928-2","Airline Promotional Set - ANA limited edition",2008,137,"City"
"293-1","Piano",1973,89,"Homemaker"
"2933-1","Freight Train",2000,79,"Duplo"
"294-1","Wall Unit",1974,58,"Homemaker"
"2949-1","RC Dozer",2001,22,"Duplo"
"295-1","Secretary's Desk",1974,80,"Homemaker"
"296-1","Ladies' Hairdressers",1977,163,"Homemaker"
"2962-1","Res-Q Lifeguard",1998,69,"Town"
"2963-1","Extreme Team Racer",1998,83,"Town"
"2964-1","Space Spider",1998,45,"Space"
"2965-1","Hornet Scout",1998,72,"Space"
"297-1","Nursery",1978,168,"Homemaker"
"2981-1","Pooh's Corner",1999,0,"Duplo"
"2982-1","Pooh's Birthday",1999,9,"Duplo"
"2995-1","Adventurers Car & Skeleton",1998,69,"Adventurers"
"2996-1","Adventurers Tomb",1998,81,"Adventurers"
"2998-1","Stena Line Ferry",1998,195,"Universal Building Set"
"30000-1","Doctor With Car",2009,30,"City"
"3000-1","Trike Buggy",1999,30,"Model"
"30001-1","Fireman's Car",2009,39,"City"
"30002-1","Police Boat",2009,30,"City"
"30003-1","Road Roller",2009,31,"City"
"30004-1","Battle Droid on STAP",2009,23,"Star Wars"
"30005-1","Imperial Speeder Bike",2009,33,"Star Wars"
"30006-1","Clone Walker",2009,31,"Star Wars"
"30008-1","Snowman",2009,44,"Seasonal"
"30009-1","Christmas Tree",2009,47,"Seasonal"
"300-1","T-Junction Road Plates",1978,2,"Classic Town"
"30010-1","Fire Chief",2010,31,"City"
"3001-1","Kabaya Promotional Set: Propeller Buggy",1999,29,"Model"
"30011-1","Police Dinghy",2010,16,"City"
"30012-1","Mini Airplane",2010,34,"City"
"30013-1","Police Quad",2010,30,"City"
"30014-1","Police Helicopter",2011,32,"City"
"30015-1","Jet Ski",2011,24,"City"
"30016-1","Small Satellite",2011,34,"Town"
"30017-1","Police Boat",2012,35,"City"
"30018-1","Police Plane",2012,32,"City"
"30019-1","Fire Helicopter",2012,37,"City"
"30020-1","Jet",2010,43,"Creator"
"30021-1","Parrot",2010,48,"Creator"
"30022-1","Bee",2011,23,"Creator"
"30023-1","Lighthouse",2011,25,"Creator"
"30024-1","Truck",2011,56,"Creator"
"30025-1","Clown Fish",2011,59,"Creator"
"30026-1","Panda",2011,61,"Creator"
"30027-1","Reindeer",2011,66,"Creator"
"30028-1","Wreath",2011,50,"Seasonal"
"30029-1","LEGO Pudsey Bear",2011,95,"Other"
"30030-1","Racing Car",2010,29,"Racers"
"3003-1","Motorbike",1999,28,"Model"
"30031-1","World Race Powerboat",2010,27,"Racers"
"30032-1","World Race Buggy",2010,35,"Racers"
"30033-1","Racing Truck",2010,40,"Racers"
"30034-1","Racing Tow Truck",2010,34,"Racers"
"30035-1","Racing Car",2010,30,"Racers"
"30036-1","Buggy Racer",2011,26,"Racers"
"30040-1","Octopus",2010,42,"Atlantis"
"30041-1","Piranha",2010,45,"Atlantis"
"30042-1","Mini Sub",2010,37,"Atlantis"
"30050-1","Republic Attack Shuttle - Mini",2010,54,"Mini"
"3005-1","Kabaya Promotional Set: Car",1999,26,"Model"
"30051-1","X-wing Fighter - Mini",2010,61,"Mini"
"30052-1","AAT - Mini",2011,46,"Mini"
"30053-1","Republic Attack Cruiser - Mini",2011,41,"Mini"
"30054-1","AT-ST - Mini",2011,46,"Mini"
"30055-1","Vulture Droid - Mini",2011,42,"Mini"
"30056-1","Star Destroyer",2012,38,"Mini"
"30057-1","Anakin's Pod Racer",2012,38,"Mini"
"30058-1","STAP",2012,19,"Star Wars"
"30059-1","MTT",2012,51,"Star Wars"
"30061-1","Attack Wagon",2010,36,"Castle"
"30062-1","Target Practice",2010,31,"Castle"
"30066-1","Circus Clown Polybag",2013,3,"Duplo"
"30066-2","Circus Ringmaster Polybag",2013,3,"Duplo"
"30066-4","Circus Tiger Polybag",2013,3,"Duplo"
"30066-5","Circus Rabbit Polybag",2013,3,"Duplo"
"30067-1","Duplo Farm Polybag (farmer)",2014,5,"Duplo"
"30067-2","Duplo Farm Polybag (calf)",2014,5,"Duplo"
"30067-3","Duplo Farm Polybag (goat)",2014,5,"Duplo"
"30067-4","Duplo Farm Polybag (cat)",2014,5,"Duplo"
"30068-1","Food",2014,6,"Duplo"
"30070-1","Alien Space Ship",2010,29,"Toy Story"
"30071-1","Army Jeep",2010,37,"Toy Story"
"30072-1","Woody's Camp Out",2010,15,"Toy Story"
"30073-1","Buzz's Mini Ship",2010,20,"Toy Story"
"30080-1","Ninja Glider",2011,26,"Ninjago"
"30081-1","Skeleton Chopper",2011,41,"Ninjago"
"30082-1","Enemy Training",2011,32,"Ninjago"
"30083-1","Dragon Fight",2011,31,"Ninjago"
"30084-1","Ninjago Promotional Set",2011,5,"Ninjago"
"30085-1","Snake Battle",2012,42,"Ninjago"
"30086-1","Hidden Sword",2012,39,"Ninjago"
"30087-1","Cole ZX's Car",2012,27,"Ninjago"
"30088-1","Rattla",2012,5,"Ninjago"
"30090-1","Desert Glider",2011,29,"Pharaoh's Quest"
"30091-1","Desert Rover",2011,31,"Pharaoh's Quest"
"30-1","Universal Building Set",1976,200,"Universal Building Set"
"30100-1","Andrea on the Beach",2012,28,"Friends"
"30101-1","Skate Boarder",2012,28,"Friends"
"30102-1","Desk",2012,28,"Friends"
"30103-1","Car",2012,32,"Friends"
"30105-1","Stephanie and Mailbox",2012,41,"Friends"
"30106-1","Ice Cream Stand",2013,34,"Friends"
"30107-1","Birthday Party",2013,39,"Friends"
"30108-1","Summer Picnic",2013,33,"Friends"
"301-1","Curved Road Plates",1978,2,"Classic Town"
"30110-1","Trolley",2011,22,"Harry Potter"
"30111-1","The Lab",2011,34,"Harry Potter"
"30112-1","Emma's Flower Stand",2014,35,"Friends"
"30113-1","Stephanie's Bakery Stand",2014,28,"Friends"
"30114-1","Andrea's Beach Lounge",2014,29,"Friends"
"30115-1","Jungle Boat",2014,31,"Friends"
"30116-1","Rapunzel's Market Visit",2014,37,"Disney Princess"
"30120-1","Guido",2011,34,"Cars"
"3012-1","Space Hover",1999,20,"Space"
"30121-1","Grem",2011,52,"Cars"
"30130-1","Mini Black Pearl",2011,47,"Pirates of the Caribbean"
"3013-1","Space Jet",1999,23,"Space"
"30131-1","Jacks Boat",2011,21,"Pirates of the Caribbean"
"30132-1","Voodoo Jack",2011,4,"Pirates of the Caribbean"
"30133-1","Jack Sparrow",2011,4,"Pirates of the Caribbean"
"30140-1","ADU Walker",2011,34,"Space"
"3014-1","Ice Planet Scooter",1999,19,"Space"
"30141-1","ADU Jetpack",2011,19,"Space"
"30150-1","Race Car",2012,35,"City"
"3015-1","Space Police Car",1999,23,"Space"
"30151-1","Mining Dozer",2012,33,"City"
"30152-1","Mining Quad",2012,40,"City"
"30160-1","Bat Jetski",2012,40,"Super Heroes"
"3016-1","Boss with Cannon",1998,24,"Ninja"
"30161-1","Batmobile",2012,45,"Super Heroes"
"30162-1","Quinjet",2012,33,"Super Heroes"
"30163-1","Thor and the Cosmic Cube",2012,25,"Super Heroes"
"30164-1","Lex Luthor",2012,17,"Super Heroes"
"30165-1","Hawkeye with Equipment",2012,24,"Super Heroes"
"30166-1","Robin and Redbird Cycle",2013,40,"Super Heroes"
"30167-1","Iron Man vs. Fighting Drone",2013,24,"Super Heroes"
"30168-1","Gun Mounting System",2013,16,"Super Heroes"
"30170-1","Ganrash",2012,56,"Gear"
"3017-1","Water Spider",1998,25,"Ninja"
"30180-1","Twin Prop",2012,45,"Creator"
"3018-1","Go! LEGO Shogun",1998,25,"Ninja"
"30181-1","Helicopter",2012,53,"Creator"
"30182-1","Santa",2012,57,"Christmas"
"30183-1","Little Car",2013,50,"Basic Model"
"30184-1","Little Helicopter",2013,56,"Creator"
"30185-1","Little Eagle",2013,48,"Creator"
"30186-1","Christmas Tree",2013,51,"Christmas"
"30187-1","Fast Car",2014,56,"Creator"
"30188-1","Cute Kitten",2014,54,"Creator"
"30189-1","Transport Plane",2014,49,"Creator"
"30190-1","Ferrari 150° Italia",2012,33,"Racers"
"3019-1","Big Bat",1998,23,"Ninja"
"30191-1","Scuderia Ferrari Truck",2012,40,"Racers"
"30192-1","Ferrari F40",2012,47,"Racers"
"30193-1","250 GT Berlinetta",2012,24,"Racers"
"30194-1","458 Italia",2012,32,"Racers"
"30195-1","FXX",2012,52,"Racers"
"30196-1","Shell F1 Team",2012,47,"Racers"
"30197-1","Snowman",2014,60,"Creator"
"30-2","Small Ship Set",1973,26,"Minitalia"
"30200-1","Zombie Chauffeur Coffin Car",2012,32,"Monster Fighters"
"3020-1","Raft of Johnse",1998,18,"Adventurers"
"30201-1","Ghost",2012,33,"Monster Fighters"
"30202-1","Smoothie Stand",2015,37,"Friends"
"30203-1","Mini Golf",2015,26,"Friends"
"30204-1","Wish Fountain",2015,44,"Friends"
"30205-1","Pop Star",2015,33,"Friends"
"302-1","Straight Road Plates (without crosswalk)",1983,2,"Classic Town"
"30210-1","Frodo with Cooking Corner",2012,35,"The Hobbit and Lord of the Rings"
"3021-1","King Pharaoh the Third",1998,17,"Adventurers"
"30211-1","Uruk Hai with Ballista",2012,21,"The Hobbit and Lord of the Rings"
"30212-1","Mirkwood Elf Guard",2012,27,"The Hobbit"
"30213-1","Gandalf at Dol Guldur",2012,31,"The Hobbit"
"30215-1","Legolas Greenleaf",2013,33,"The Hobbit"
"30216-1","Lake-town Guard",2013,31,"The Hobbit"
"30218-1","Snail",2015,6,"Duplo"
"302-2","Straight Road Plates (with crosswalk)",1978,2,"Classic Town"
"30220-1","Fire Speedboat",2013,40,"City"
"3022-1","Plane of Hurrykain",1998,23,"Adventurers"
"30221-1","Fire Car",2013,36,"City"
"30222-1","Police Helicopter",2013,33,"City"
"30224-1","Lawn Mower",2013,41,"Town"
"30225-1","Seaplane",2013,37,"City"
"30226-1","Police Helicopter ",2014,48,"City"
"30227-1","Police Watercraft",2014,36,"City"
"30228-1","Police ATV",2014,42,"City"
"30229-1","Repair Lift",2014,40,"City"
"30230-1","Mini Mech",2013,28,"Space"
"3023-1","Slyboot Car",1998,23,"Adventurers"
"30231-1","Space Insectoid",2013,27,"Space"
"30240-1","Z-95 Headhunter",2013,54,"Mini"
"30241-1","Mandalorian Fighter",2013,49,"Mini"
"30242-1","Republic Frigate",2013,45,"Mini"
"30243-1","Umbaran MHC",2013,49,"Mini"
"30244-1","Anakin's Jedi Intercepter",2014,45,"Star Wars"
"30246-1","Imperial Shuttle",2014,57,"Star Wars"
"30247-1","ARC-170 Starfighter",2014,54,"Star Wars"
"30250-1","Ewar's Acro-Fighter",2013,33,"Legends of Chima"
"3025-1","25th Anniversary Silver Bucket",1998,601,"Universal Building Set"
"30251-1","Winzar's Pack Patrol",2013,38,"Legends of Chima"
"30252-1","Crug's Swamp Jet",2013,23,"Legends of Chima"
"30253-1","Leonidas' Jungle Dragster",2013,30,"Legends of Chima"
"30254-1","Razcal's Double-Crosser",2013,36,"Legends of Chima"
"30255-1","Crawley",2013,11,"Legends of Chima"
"30256-1","Ice Bear Mech",2015,39,"Legends of Chima"
"30259-1","Azari’s Magic Fire",2015,27,"Elves"
"30260-1","Lone Ranger’s Pump Car",2013,24,"The Lone Ranger"
"3026-1","25th Anniversary Silver Tub",1998,1201,"Universal Building Set"
"30261-1","Tonto's Campfire",2013,20,"The Lone Ranger"
"30262-1","Gorzan's Walker ",2014,34,"Legends of Chima"
"30263-1","Spider Crawler",2014,40,"Legends of Chima"
"30264-1","Frax' Phoenix Flyer",2014,32,"Legends of Chima"
"30265-1","Worriz' Fire Bike",2014,31,"Legends of Chima"
"30266-1","Sykor's Ice Cruiser",2014,25,"Legends of Chima"
"30270-1","Kraang's Turtle Target Practice",2013,36,"Teenage Mutant Ninja Turtles"
"3027-1","25th Anniversary Silver Bucket",1998,418,"Freestyle"
"30271-1","Mikey's Mini-Shellraiser",2014,46,"Teenage Mutant Ninja Turtles"
"30272-1","A-Wing Starfighter",2015,58,"Star Wars"
"30274-1","AT-DP",2015,65,"Star Wars"
"30275-1","TIE Advanced Prototype",2015,47,"Star Wars"
"30276-1","First Order Special Forces TIE Fighter Set",2015,41,"Star Wars"
"30277-1","First Order Star Destroyer",2016,56,"Star Wars"
"30278-1","Poe's X-wing Fighter",2015,64,"Star Wars"
"30279-1","Kylo Ren's Command Shuttle",2016,43,"Star Wars"
"30280-1","The Piece of Resistance",2014,33,"The LEGO Movie"
"3028-1","25th Anniversary Silver Tub",1998,843,"Freestyle"
"30281-1","Micro Manager Battle",2014,27,"The LEGO Movie"
"30282-1","Super Secret Police Enforcer",2014,40,"The LEGO Movie"
"30283-1","Off-Road",2015,43,"Basic Model"
"30284-1","Tractor",2015,51,"Creator"
"30285-1","Tiger",2015,73,"Basic Model"
"30286-1","Christmas Tree",2015,65,"Seasonal"
"30291-1","Anacondrai Battle Mech",2015,43,"Ninjago"
"30292-1","Jay Nano Mech",2015,54,"Ninjago"
"30293-1","Kai Drifter",2015,43,"Ninjago"
"30294-1","The Cowler Dragon",2015,45,"Ninjago"
"30300-1","The Batman Tumbler",2014,57,"Super Heroes"
"30301-1","Batwing",2014,45,"Super Heroes"
"30302-1","Spider-Man",2014,45,"Super Heroes"
"30303-1","The Joker Bumper Car",2015,47,"Super Heroes"
"30304-1","The Avengers Quinjet",2015,56,"Super Heroes"
"30305-1","Spider-Man Super Jumper",2015,38,"Super Heroes"
"303-1","Basic Building Set",1987,33,"Universal Building Set"
"30310-1","Arctic Scout",2014,39,"City"
"30311-1","Swamp Police Helicopter",2015,51,"City"
"30312-1","Demolition Driller",2015,40,"City"
"30313-1","Garbage Truck",2015,48,"City"
"30314-1","Go-Kart Racer",2015,45,"City"
"30315-1","Space Utility Vehicle",2015,39,"Town"
"303-2","Aeroplane",1964,46,"Vehicle"
"30320-1","Gallimimus Trap",2015,29,"Jurassic World"
"3032-1","Medium Bucket",1999,600,"Universal Building Set"
"30321-1","Duck",2016,4,"Duplo"
"3033-1","Basic Bulk Tub (American Version)",1998,1200,"Universal Building Set"
"3033-2","Basic Bulk Tub (Overseas Version)",2002,1200,"Universal Building Set"
"30338-1","Fire Car",2017,32,"Town"
"30346-1","Prison Island Helicopter",2016,46,"City"
"30347-1","Fire Car",2016,53,"City"
"30348-1","Mini Dumper",2016,45,"City"
"30349-1","Sports Car",2016,47,"Town"
"30350-1","Volcano Jackhammer",2016,53,"Town"
"30351-1","Police Helicopter",2017,44,"City"
"30352-1","Police Car",2017,50,"City"
"30354-1","Hot Rod",2017,36,"Town"
"30371-1","Knight's Cycle",2016,41,"Nexo Knights"
"30372-1","Robin's Mini Fortrex",2016,45,"Nexo Knights"
"30373-1","Knighton Hyper Cannon",2016,47,"Nexo Knights"
"30374-1","The Lava Slinger",2016,39,"Nexo Knights"
"30375-1","Sira's Adventurous Airglider",2016,24,"Elves"
"30376-1","Knighton Rider",2017,42,"Nexo Knights"
"30377-1","Motor Horse polybag",2017,52,"Nexo Knights"
"30378-1","Shrunken Headquarters",2017,48,"Nexo Knights"
"3038-1","Spider Slayer",1998,367,"Technic"
"3039-1","Adventurers Plane",1999,23,"Adventurers"
"30396-1","Cupcake Stall",2016,28,"Friends"
"30397-1","Olaf's Summertime Fun",2016,48,"Disney Princess"
"30398-1","Adventure Camp Bridge",2016,35,"Friends"
"30399-1","Bowling Alley",2016,51,"Friends"
"30400-1","Gymnastic Bar",2017,26,"Friends"
"3040-1","Challenger Set 200",1998,155,"Universal Building Set"
"30401-1","Emma's Pool Slide",2017,45,"Friends"
"304-1","Basic Building Set",1985,31,"Universal Building Set"
"3041-1","Big Bucket of Fun",1998,468,"Universal Building Set"
"304-2","Tractor & Trailer",1964,82,"Vehicle"
"30421-1","Skybound Plane",2016,30,"Ninjago"
"30422-1","Kai's Mini Dragon",2016,40,"Ninjago"
"30423-1","Anchor-Jet",2016,37,"Ninjago"
"30424-1","WU-CRU Training Dojo",2016,43,"Ninjago"
"30446-1","The Batmobile",2016,63,"Super Heroes"
"30447-1","Captain America's Motorcycle",2016,25,"Super Heroes"
"30448-1","Spider-Man vs. The Venom Symbiote",2016,49,"Super Heroes"
"30449-1","The Milano",2017,64,"Super Heroes"
"3047-1","Halloween Bucket",1998,256,"Seasonal"
"30471-1","Helicopter",2016,47,"Creator"
"30472-1","Parrot",2016,43,"Creator"
"30473-1","Racer",2016,30,"Juniors"
"30474-1","Reindeer",2016,77,"Seasonal"
"30476-1","Turtle",2017,33,"Basic Model"
"30496-1","U-Wing Fighter",2017,55,"Star Wars"
"3050-1","Shanghai Surprise",1999,108,"Ninja"
"305-1","Two Crater Plates",1979,2,"Space"
"3051-1","Blaze Attack",1999,144,"Ninja"
"305-2","Fire Engine",1964,170,"Vehicle"
"3052-1","Ninja Fire Fortress",1999,173,"Ninja"
"30521-1","The Mini Batmobile",2017,68,"Super Heroes"
"30522-1","Batman in the Phantom Zone polybag",2016,59,"Super Heroes"
"30523-1","The Joker Battle Training",2017,49,"Super Heroes"
"30524-1","The Mini Batwing",2017,80,"Super Heroes"
"3053-1","Emperor's Stronghold",1999,335,"Ninja"
"3054-1","Kelloggs Promotional Set: TECHNIC Motorcycle",1998,30,"Model"
"30546-1","Krypto Saves the Day",2017,55,"Super Heroes"
"3055-1","Adventurers Car",1998,21,"Adventurers"
"3056-1","Go-Kart",1998,23,"Classic Town"
"3057-1","Create 'n' Race - Master Builders",2000,106,"Model"
"3058-1","Busy City - Master Builders (Masterbuilders)",2000,73,"Town Jr."
"3059-1","Mars Mission - Master Builders (Masterbuilders)",2000,90,"Town"
"30601-1","Scooby-Doo",2016,2,"Scooby-Doo"
"30602-1","First Order Stormtrooper",2016,7,"Star Wars"
"30603-1","Batman Classic TV Series - Mr. Freeze",2016,16,"Super Heroes"
"30604-1","Cosmic Boy",2016,7,"Super Heroes"
"30605-1","Finn (FN-2187)",2016,3,"Star Wars"
"30606-1","Nightwing",2016,6,"Super Heroes"
"30607-1","Disco Batman - Tears of Batman",2017,13,"Super Heroes"
"306-1","Two Lunar Landing Plates",1979,2,"Space"
"3061-1","City Park Café",2012,244,"Friends"
"30611-1","R2-D2",2017,70,"Star Wars"
"306-2","VW Garage",1958,45,"Classic"
"3063-1","Heartlake Flying Club",2012,197,"Friends"
"3065-1","Olivia’s Tree House",2012,214,"Friends"
"3066-1","Cosmos Glider",1999,19,"Town"
"3066-3","Circus Acrobat Polybag",2013,3,"Duplo"
"3067-1","Test Shuttle",1999,21,"Town"
"3068-1","Radar Buggy",1999,25,"Town"
"3069-1","Cosmic Wing",1999,23,"Town"
"3070-1","Mosquito",1999,21,"Space"
"3071-1","Light Flyer",1999,19,"Space"
"307-2","VW Auto Showroom",1958,51,"Classic"
"3072-1","Mega Tack",1999,23,"Space"
"3073-1","Booster",1999,21,"Space"
"3074-1","Red Ninja's Dragon Glider",1999,20,"Ninja"
"3075-1","Ninja Master's Boat",1999,21,"Ninja"
"3076-1","White Ninja's Attack Cart",1999,23,"Ninja"
"3077-1","Ninja Shogun's Small Fort",1999,21,"Ninja"
"3078-1","Kellogg's Promotional Set: Car",1998,17,"Universal Building Set"
"3079-1","Kellogg's Promotional Set: Duck",1998,14,"Universal Building Set"
"3080-1","Kellogg's Promotional Set: Plane",1998,16,"Universal Building Set"
"308-1","Bracelet Sympathy",1979,40,"Hobby Sets"
"3081-1","Kellogg's Promotional Set: Helicopter",1998,16,"Universal Building Set"
"308-2","Basic Building Set",1985,34,"Universal Building Set"
"308-3","Fire Station",1958,109,"Classic"
"309-1","Bracelet Spring",1979,38,"Hobby Sets"
"309-2","Church",1958,149,"Classic"
"3093-1","Fun Playground",2001,31,"Duplo"
"309314-1","Lego City - Police on Alert!",2011,19,"Books"
"31000-1","Mini Speeder",2013,65,"Creator"
"31001-1","Mini Skyfighter",2013,62,"Creator"
"31002-1","Super Racer",2013,121,"Creator"
"31003-1","Red Rotors",2013,145,"Model"
"31004-1","Fierce Flyer",2013,166,"Creator"
"31005-1","Construction Hauler",2013,256,"Creator"
"31006-1","Highway Speedster",2013,286,"Model"
"31007-1","Power Mech",2013,223,"Creator"
"31008-1","Thunder Wings",2013,235,"Creator"
"31009-1","Small Cottage",2013,271,"Model"
"31010-1","Treehouse",2013,356,"Model"
"31011-1","Aviation Adventures",2013,619,"Model"
"31012-1","Family House",2013,755,"Model"
"31013-1","Red Thunder",2014,66,"Creator"
"31014-1","Power Digger",2014,63,"Creator"
"31015-1","Emerald Express",2014,56,"Creator"
"31017-1","Sunset Speeder",2014,119,"Creator"
"31018-1","Highway Cruiser",2014,129,"Creator"
"31019-1","Forest Animals",2014,272,"Creator"
"31020-1","Twinblade Adventures",2014,216,"Creator"
"31021-1","Furry Creatures",2014,285,"Creator"
"31022-1","Turbo Quad",2014,186,"Model"
"31023-1","Yellow Racers",2014,328,"Creator"
"31024-1","Roaring Power",2014,374,"Creator"
"31025-1","Mountain Hut",2014,550,"Creator"
"31026-1","Bike Shop & Cafe",2014,1022,"Creator"
"31027-1","Blue Racer",2015,67,"Creator"
"31028-1","Sea Plane",2015,53,"Creator"
"31029-1","Cargo Heli",2015,132,"Creator"
"310-3","Tug",1973,45,"Boat"
"31030-1","Red Go-Kart",2015,106,"Creator"
"31031-1","Rainforest Animals",2015,215,"Model"
"31032-1","Red Creatures",2015,221,"Model"
"31033-1","Vehicle Transporter",2015,264,"Creator"
"31034-1","Future Flyer",2015,237,"Basic Model"
"31035-1","Beach Hut",2015,286,"Model"
"31036-1","Toy & Grocery Shop",2015,465,"Model"
"31037-1","Adventure Vehicles",2015,282,"Creator"
"31038-1","Changing Seasons",2015,535,"Creator"
"31039-1","Blue Power Jet",2015,607,"Creator"
"310-4","Basic Building Set",1985,46,"Universal Building Set"
"31040-1","Desert Racers",2016,65,"Creator"
"31041-1","Construction Vehicles",2016,64,"Creator"
"31042-1","Super Soarer",2016,100,"Creator"
"31043-1","Chopper transporter",2016,124,"Creator"
"31044-1","Park Animals",2016,202,"Creator"
"31045-1","Ocean Explorer",2016,213,"Creator"
"31046-1","Fast Car",2016,222,"Creator"
"31047-1","Propeller Plane",2016,230,"Creator"
"31048-1","Lakeside Lodge",2016,371,"Creator"
"31049-1","Twin Spin Helicopter",2016,326,"Creator"
"310-5","ESSO Filling Station",1958,96,"Classic"
"31050-1","Corner Deli",2016,467,"Creator"
"31051-1","Lighthouse Point",2016,527,"Creator"
"31052-1","Vacation Getaways",2016,791,"Creator"
"31053-1","Treehouse Adventures",2016,387,"Creator"
"31054-1","Blue Express",2017,71,"Creator"
"31055-1","Red Racer",2017,72,"Creator"
"31056-1","Green Cruiser",2016,122,"Creator"
"31057-1","Air Blazer",2016,102,"Creator"
"31058-1","Mighty Dinosaurs",2017,174,"Creator"
"31059-1","Sunset Street Bike",2016,185,"Creator"
"31060-1","Airshow Aces",2016,246,"Creator"
"31062-1","Robo Explorer 1",2017,205,"Creator"
"31063-1","Beachside Vacation",2017,275,"Creator"
"31064-1","Seaplane Adventures",2017,359,"Creator"
"31065-1","Park Street Townhouse",2017,565,"Creator"
"31066-1","Space Shuttle Explorer",2017,285,"Creator"
"31067-1","Modular Poolside Holiday",2017,352,"Creator"
"31068-1","Modular Modern Home",2017,386,"Creator"
"31069-1","Modular Family Villa",2017,728,"Creator"
"31070-1","Turbo Track Racer",2017,664,"Creator"
"311-1","Ferry",1973,82,"Boat"
"311-3","Basic Set",1984,34,"Universal Building Set"
